"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant_id","response","stimulus","category","correct_response","naive_theory","concept","is_consistent","correct","question_order"
"","3951","html-keyboard-response","18","2.0.0","100444","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Heat increases an object's color.</div>","Thermodynamics","F","F","Thermal expansion","true","false",""
"","2636","html-keyboard-response","19","2.0.0","103582","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Steam has a lower temperature than ice.</div>","Thermodynamics","F","F","Temperature","true","false",""
"","4396","html-keyboard-response","20","2.0.0","108480","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Water transfers heat to ice.</div>","Thermodynamics","T","T","Heat transfer","true","false",""
"","2546","html-keyboard-response","21","2.0.0","111528","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Boiling water has a lower temperature than steam.</div>","Thermodynamics","T","F","Temperature","false","false",""
"","6344","html-keyboard-response","22","2.0.0","118374","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Rain produces heat.</div>","Thermodynamics","F","F","Heat source","true","false",""
"","1324","html-keyboard-response","23","2.0.0","120200","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Atoms have heat.</div>","Thermodynamics","F","T","Heat","false","false",""
"","7940","html-keyboard-response","24","2.0.0","128642","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Cold objects transfer heat to warm objects.</div>","Thermodynamics","F","F","Heat transfer","true","false",""
"","25724","html-keyboard-response","25","2.0.0","154867","pcj39q70rex","fawn"," ","<p>The next 20 statements will be about <b>Mechanics</b>. Press any key to continue.</p>","","","","","","",""
"","5377","html-keyboard-response","26","2.0.0","160246","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Forces can be straight or curved.</div>","Mechanics","F","T","Force","false","false",""
"","1475","html-keyboard-response","27","2.0.0","162222","pcj39q70rex","fawn","T","<div style=""font-size:30pt;"">Press T if you are paying attention. Do not press z or m.</div>","Mechanics","T3","T3","AttentionCheck","true","false",""
"","12936","html-keyboard-response","28","2.0.0","175661","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">A moving bullet loses speed.</div>","Mechanics","T","T","Velocity","true","false",""
"","7099","html-keyboard-response","29","2.0.0","183261","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Momentum can be transferred from one object to another.</div>","Mechanics","T","T","Momentum","true","false",""
"","5112","html-keyboard-response","30","2.0.0","188877","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Heavy balls fall through air faster than light balls.</div>","Mechanics","F","T","Gravity","false","false",""
"","4258","html-keyboard-response","31","2.0.0","193637","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Anvils fall through air faster than feathers.</div>","Mechanics","T","T","Gravity","true","false",""
"","25045","html-keyboard-response","32","2.0.0","219185","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Constant acceleration requires constant force.</div>","Mechanics","T","T","Acceleration","true","false",""
"","4495","html-keyboard-response","33","2.0.0","224182","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Forces can be balanced or unbalanced.</div>","Mechanics","T","F","Force","false","false",""
"","6840","html-keyboard-response","34","2.0.0","231524","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Bright objects fall through air faster than dark objects.</div>","Mechanics","F","F","Gravity","true","false",""
"","2194","html-keyboard-response","35","2.0.0","234220","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Color can be transferred from one object to another.</div>","Mechanics","F","F","Momentum","true","false",""
"","2180","html-keyboard-response","36","2.0.0","236902","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Forces can be male or female.</div>","Mechanics","F","F","Force","true","false",""
"","1756","html-keyboard-response","37","2.0.0","239161","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Forces can be strong or weak.</div>","Mechanics","T","T","Force","true","false",""
"","2171","html-keyboard-response","38","2.0.0","241834","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">A moving bullet loses weight.</div>","Mechanics","F","F","Velocity","true","false",""
"","4139","html-keyboard-response","39","2.0.0","246475","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Forces can be transferred from one object to another.</div>","Mechanics","F","T","Momentum","false","false",""
"","3397","html-keyboard-response","40","2.0.0","250375","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Constant motion requires constant force.</div>","Mechanics","F","T","Acceleration","false","false",""
"","2690","html-keyboard-response","41","2.0.0","253567","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Energy can be transferred from one object to another.</div>","Mechanics","T","F","Momentum","false","false",""
"","5441","html-keyboard-response","42","2.0.0","259509","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Pointy objects fall through air faster than flat objects.</div>","Mechanics","T","F","Gravity","false","false",""
"","2140","html-keyboard-response","43","2.0.0","262151","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Constant speed requires constant acceleration.</div>","Mechanics","F","F","Acceleration","true","false",""
"","3771","html-keyboard-response","44","2.0.0","266424","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Constant force can yield constant rest.</div>","Mechanics","T","F","Acceleration","false","false",""
"","1148","html-keyboard-response","45","2.0.0","268073","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">A moving bullet loses height.</div>","Mechanics","T","F","Velocity","false","false",""
"","5054","html-keyboard-response","46","2.0.0","273629","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">A moving bullet loses force.</div>","Mechanics","F","T","Velocity","false","false",""
"","1464","html-keyboard-response","47","2.0.0","275595","pcj39q70rex","fawn"," ","<p>The next 20 statements will be about <b>Evolution</b>. Press any key to continue.</p>","","","","","","",""
"","7111","html-keyboard-response","48","2.0.0","282707","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Most organisms are adapted to their environment.</div>","Evolution","T","T","Selection","true","false",""
"","4433","html-keyboard-response","49","2.0.0","287642","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Whales are more closely related to plants than fish.</div>","Evolution","F","F","Common ancestry","true","false",""
"","4094","html-keyboard-response","50","2.0.0","292237","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Humans are descended from chimpanzees.</div>","Evolution","F","T","Phylogeny","false","false",""
"","3972","html-keyboard-response","51","2.0.0","296710","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Humans are more closely related to apes than monkeys.</div>","Evolution","T","T","Common ancestry","true","false",""
"","1919","html-keyboard-response","52","2.0.0","299131","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Individual organisms evolve.</div>","Evolution","F","T","Adaptation","false","false",""
"","1662","html-keyboard-response","53","2.0.0","301295","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Biological species evolve.</div>","Evolution","T","T","Adaptation","true","false",""
"","2701","html-keyboard-response","54","2.0.0","304498","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Evolution requires long periods of time.</div>","Evolution","F","T","Variation","false","false",""
"","5200","html-keyboard-response","55","2.0.0","310199","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Inanimate objects evolve.</div>","Evolution","F","F","Adaptation","true","false",""
"","3111","html-keyboard-response","56","2.0.0","313813","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Most organisms die before leaving offspring.</div>","Evolution","T","F","Selection","false","false",""
"","7340","html-keyboard-response","57","2.0.0","321654","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Apes are more closely related to monkeys than humans.</div>","Evolution","F","T","Common ancestry","false","false",""
"","4423","html-keyboard-response","58","2.0.0","326579","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Computer viruses evolve.</div>","Evolution","T","F","Adaptation","false","false",""
"","5682","html-keyboard-response","59","2.0.0","332762","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Humans are descended from sea-dwelling creatures.</div>","Evolution","T","F","Phylogeny","false","false",""
"","4780","html-keyboard-response","60","2.0.0","338044","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Evolution requires climate stability.</div>","Evolution","F","F","Variation","true","false",""
"","3531","html-keyboard-response","61","2.0.0","342078","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Evolution requires within-species variation.</div>","Evolution","T","F","Variation","false","false",""
"","10120","html-keyboard-response","62","2.0.0","352699","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Whales are more closely related to humans than fish.</div>","Evolution","T","F","Common ancestry","false","false",""
"","2549","html-keyboard-response","63","2.0.0","355751","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Evolution requires differential survival.</div>","Evolution","T","T","Variation","true","false",""
"","1572","html-keyboard-response","64","2.0.0","357824","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Humans are descended from plants.</div>","Evolution","F","F","Phylogeny","true","false",""
"","1764","html-keyboard-response","65","2.0.0","360090","pcj39q70rex","fawn","T","<div style=""font-size:30pt;"">Press T if you are paying attention. Do not press z or m.</div>","Evolution","T3","T3","AttentionCheck","true","false",""
"","5435","html-keyboard-response","66","2.0.0","366027","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Humans are descended from tree-dwelling creatures.</div>","Evolution","T","T","Phylogeny","true","false",""
"","3620","html-keyboard-response","67","2.0.0","370149","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Most organisms have plenty to eat.</div>","Evolution","F","T","Selection","false","false",""
"","2027","html-keyboard-response","68","2.0.0","372679","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Most organisms live in temperate climates.</div>","Evolution","F","F","Selection","true","false",""
"","1543","html-keyboard-response","69","2.0.0","374723","pcj39q70rex","fawn"," ","<p>The next 20 statements will be about <b>Physiology</b>. Press any key to continue.</p>","","","","","","",""
"","2052","html-keyboard-response","70","2.0.0","376777","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Mushrooms can die.</div>","Physiology","T","F","Death","false","false",""
"","2784","html-keyboard-response","71","2.0.0","380063","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Bacteria turn food into energy.</div>","Physiology","T","F","Metabolism","false","false",""
"","6212","html-keyboard-response","72","2.0.0","386778","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">A baby can be a mother or a father.</div>","Physiology","F","F","Kinship","true","false",""
"","1870","html-keyboard-response","73","2.0.0","389149","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Rocks are alive.</div>","Physiology","F","F","Life","true","false",""
"","3572","html-keyboard-response","74","2.0.0","393223","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">People turn food into energy.</div>","Physiology","T","T","Metabolism","true","false",""
"","3495","html-keyboard-response","75","2.0.0","397220","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">A baby can be identical to an older sibling.</div>","Physiology","F","T","Kinship","false","false",""
"","1847","html-keyboard-response","76","2.0.0","399569","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Ferns can reproduce.</div>","Physiology","T","F","Reproduction","false","false",""
"","1172","html-keyboard-response","77","2.0.0","401242","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Clouds can die.</div>","Physiology","F","T","Death","false","false",""
"","4032","html-keyboard-response","78","2.0.0","405777","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Chairs can reproduce.</div>","Physiology","F","F","Reproduction","true","false",""
"","1750","html-keyboard-response","79","2.0.0","408029","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Coral is alive.</div>","Physiology","T","F","Life","false","false",""
"","3806","html-keyboard-response","80","2.0.0","412337","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">A baby can be an uncle or an aunt.</div>","Physiology","T","F","Kinship","false","false",""
"","2765","html-keyboard-response","81","2.0.0","415604","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Turtles can die.</div>","Physiology","T","T","Death","true","false",""
"","5032","html-keyboard-response","82","2.0.0","421138","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Tigers can reproduce.</div>","Physiology","T","T","Reproduction","true","false",""
"","2066","html-keyboard-response","83","2.0.0","423706","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Rocks turn food into energy.</div>","Physiology","F","F","Metabolism","true","false",""
"","2058","html-keyboard-response","84","2.0.0","426267","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">The sun is alive.</div>","Physiology","F","T","Life","false","false",""
"","1764","html-keyboard-response","85","2.0.0","428533","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Plants turn food into energy.</div>","Physiology","F","T","Metabolism","false","false",""
"","1636","html-keyboard-response","86","2.0.0","430671","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">A baby can be a niece or a nephew.</div>","Physiology","T","T","Kinship","true","false",""
"","1718","html-keyboard-response","87","2.0.0","432891","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Screwdrivers can die.</div>","Physiology","F","F","Death","true","false",""
"","1381","html-keyboard-response","88","2.0.0","434774","pcj39q70rex","fawn","T","<div style=""font-size:30pt;"">Press T if you are paying attention. Do not press z or m.</div>","Physiology","T3","T3","AttentionCheck","true","false",""
"","2898","html-keyboard-response","89","2.0.0","438173","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Caterpillars can reproduce.</div>","Physiology","F","T","Reproduction","false","false",""
"","987","html-keyboard-response","90","2.0.0","439663","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Fish are alive.</div>","Physiology","T","T","Life","true","false",""
"","1272","html-keyboard-response","91","2.0.0","441436","pcj39q70rex","fawn"," ","<p>The next 20 statements will be about <b>Germs</b>. Press any key to continue.</p>","","","","","","",""
"","6820","html-keyboard-response","92","2.0.0","448257","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Being depressed can make a person sick.</div>","Germs","T","F","Contagion","false","false",""
"","4261","html-keyboard-response","93","2.0.0","453020","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Germs have a shape.</div>","Germs","T","T","Microbe","true","false",""
"","2287","html-keyboard-response","94","2.0.0","455810","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Being happy can make a person sick.</div>","Germs","F","F","Contagion","true","false",""
"","3372","html-keyboard-response","95","2.0.0","459684","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Germs have DNA.</div>","Germs","T","F","Microbe","false","false",""
"","5577","html-keyboard-response","96","2.0.0","465763","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Heat kills germs.</div>","Germs","T","F","Sterilization","false","false",""
"","1602","html-keyboard-response","97","2.0.0","467867","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Being sneezed on can make a person sick.</div>","Germs","T","T","Contagion","true","false",""
"","3056","html-keyboard-response","98","2.0.0","471424","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Water kills germs.</div>","Germs","F","T","Sterilization","false","false",""
"","5198","html-keyboard-response","99","2.0.0","477124","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Sunshine contains germs.</div>","Germs","F","F","Contamination","true","false",""
"","4124","html-keyboard-response","100","2.0.0","481750","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Dish sponges contain germs.</div>","Germs","T","F","Contamination","false","false",""
"","1424","html-keyboard-response","101","2.0.0","483677","pcj39q70rex","fawn","T","<div style=""font-size:30pt;"">Press T if you are paying attention. Do not press z or m.</div>","Germs","T3","T3","AttentionCheck","true","false",""
"","3712","html-keyboard-response","102","2.0.0","487891","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Germs enter the body through the hair.</div>","Germs","F","F","Infection","true","false",""
"","1568","html-keyboard-response","103","2.0.0","489961","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Rotting meat contains germs.</div>","Germs","T","T","Contamination","true","false",""
"","1594","html-keyboard-response","104","2.0.0","492057","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Alcohol kills germs.</div>","Germs","T","T","Sterilization","true","false",""
"","2036","html-keyboard-response","105","2.0.0","494595","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Germs enter the body through the eyes.</div>","Germs","T","F","Infection","false","false",""
"","1747","html-keyboard-response","106","2.0.0","496844","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Urine contains germs.</div>","Germs","F","T","Contamination","false","false",""
"","1578","html-keyboard-response","107","2.0.0","498923","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Germs have an odor.</div>","Germs","F","T","Microbe","false","false",""
"","2282","html-keyboard-response","108","2.0.0","501707","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Germs enter the body through cuts.</div>","Germs","T","T","Infection","true","false",""
"","2417","html-keyboard-response","109","2.0.0","504626","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Germs enter the body through the skin.</div>","Germs","F","T","Infection","false","false",""
"","1503","html-keyboard-response","110","2.0.0","506631","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Kindness kills germs.</div>","Germs","F","F","Sterilization","true","false",""
"","4432","html-keyboard-response","111","2.0.0","511565","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Germs have feelings.</div>","Germs","F","F","Microbe","true","false",""
"","3491","html-keyboard-response","112","2.0.0","515559","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Being cold can make a person sick.</div>","Germs","F","T","Contagion","false","false",""
"","1260","html-keyboard-response","113","2.0.0","517320","pcj39q70rex","fawn"," ","<p>The next 20 statements will be about <b>Genetics</b>. Press any key to continue.</p>","","","","","","",""
"","3422","html-keyboard-response","114","2.0.0","520743","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Two brown-eyed parents could have a brown-eyed baby.</div>","Genetics","T","T","Dominance","true","false",""
"","4823","html-keyboard-response","115","2.0.0","526068","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Radiation can change one's genome.</div>","Genetics","T","T","Mutation","true","false",""
"","2753","html-keyboard-response","116","2.0.0","529324","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Men have more chromosomes than women.</div>","Genetics","F","F","Chromosome","true","false",""
"","11148","html-keyboard-response","117","2.0.0","540974","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Genes that code for eye color can be found in the liver.</div>","Genetics","T","F","Expression","false","false",""
"","2355","html-keyboard-response","118","2.0.0","543830","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Viruses can change one's genome.</div>","Genetics","T","F","Mutation","false","false",""
"","2802","html-keyboard-response","119","2.0.0","547133","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Intelligence is heritable.</div>","Genetics","T","F","Heritability","false","false",""
"","3616","html-keyboard-response","120","2.0.0","551251","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Humans have more chromosomes than mosquitoes.</div>","Genetics","T","T","Chromosome","true","false",""
"","5157","html-keyboard-response","121","2.0.0","556910","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Exercise can change one's genome.</div>","Genetics","F","T","Mutation","false","false",""
"","2681","html-keyboard-response","122","2.0.0","560094","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">A blue-eyed baby must have two blue-eyed parents.</div>","Genetics","F","T","Dominance","false","false",""
"","63","html-keyboard-response","123","2.0.0","560659","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Sunscreen can change one's genome.</div>","Genetics","F","F","Mutation","true","false",""
"","5646","html-keyboard-response","124","2.0.0","566807","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Genes that code for eye color can be found in hair.</div>","Genetics","F","F","Expression","true","false",""
"","1352","html-keyboard-response","125","2.0.0","568662","pcj39q70rex","fawn","T","<div style=""font-size:30pt;"">Press T if you are paying attention. Do not press z or m.</div>","Genetics","T3","T3","AttentionCheck","true","false",""
"","4818","html-keyboard-response","126","2.0.0","573981","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Skin cells have more chromosomes than egg cells.</div>","Genetics","T","F","Chromosome","false","false",""
"","2333","html-keyboard-response","127","2.0.0","576817","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Pierced ears are heritable.</div>","Genetics","F","F","Heritability","true","false",""
"","9251","html-keyboard-response","128","2.0.0","586570","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Genes that code for eye color can be found in the eye.</div>","Genetics","T","T","Expression","true","false",""
"","3995","html-keyboard-response","129","2.0.0","591066","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Two blue-eyed parents could have a brown-eyed baby.</div>","Genetics","F","F","Dominance","true","false",""
"","2486","html-keyboard-response","130","2.0.0","594054","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Hair color is heritable.</div>","Genetics","T","T","Heritability","true","false",""
"","3867","html-keyboard-response","131","2.0.0","598423","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Immunity to chickenpox is heritable.</div>","Genetics","F","T","Heritability","false","false",""
"","5127","html-keyboard-response","132","2.0.0","604052","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">Adults have more chromosomes than children.</div>","Genetics","F","T","Chromosome","false","false",""
"","2741","html-keyboard-response","133","2.0.0","607295","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Genes that code for eye color can be found in tears.</div>","Genetics","F","T","Expression","false","false",""
"","2821","html-keyboard-response","134","2.0.0","610619","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">Two brown-eyed parents could have a blue-eyed baby.</div>","Genetics","T","F","Dominance","false","false",""
"","5782","html-keyboard-response","135","2.0.0","616903","pcj39q70rex","fawn"," ","<p>The next 20 statements will be about <b>Fractions</b>. Press any key to continue.</p>","","","","","","",""
"","8472","html-keyboard-response","136","2.0.0","625377","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">1/13 is greater than 1/30.</div>","Fractions","T","F","Ordering","false","false",""
"","3861","html-keyboard-response","137","2.0.0","629741","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">All fractions are expressible as decimals.</div>","Fractions","F","T","Conversion","false","false",""
"","6194","html-keyboard-response","138","2.0.0","636437","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">There are numbers between 1/10 and 10/100.</div>","Fractions","F","T","Infinite density","false","false",""
"","13741","html-keyboard-response","139","2.0.0","650680","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">8 divided by 1/2 is 4.</div>","Fractions","F","T","Division","false","false",""
"","2841","html-keyboard-response","140","2.0.0","654023","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">All decimals are expressible as fractions.</div>","Fractions","T","T","Conversion","true","false",""
"","2997","html-keyboard-response","141","2.0.0","657523","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">8 divided by 2/1 is 3.</div>","Fractions","F","F","Division","true","false",""
"","3280","html-keyboard-response","142","2.0.0","661306","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">1/3 plus 1/3 is 2/3.</div>","Fractions","T","T","Addition","true","false",""
"","5285","html-keyboard-response","143","2.0.0","667094","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">1/17 is greater than 1/9.</div>","Fractions","F","T","Ordering","false","false",""
"","4861","html-keyboard-response","144","2.0.0","672457","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">There are numbers between 1/3 and 1/2.</div>","Fractions","T","F","Infinite density","false","false",""
"","3098","html-keyboard-response","145","2.0.0","676057","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">4 divided by 2/1 is 2.</div>","Fractions","T","T","Division","true","false",""
"","2965","html-keyboard-response","146","2.0.0","679524","pcj39q70rex","fawn","M","<div style=""font-size:30pt;"">There are numbers between 10 and 10.</div>","Fractions","F","F","Infinite density","true","false",""
"","1813","html-keyboard-response","147","2.0.0","681840","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">All integers are expressible as fractions.</div>","Fractions","T","F","Conversion","false","false",""
"","2101","html-keyboard-response","148","2.0.0","684443","pcj39q70rex","fawn","Z","<div style=""font-size:30pt;"">There are numbers between 1 and 3.</div>","Fractions","T","T","Infinite density","true","false",""
